"","geoid","city_code","pop_total","pop_with_water_supply","pop_with_sewer_service","qty_water_supply_paralizations","has_selective_waste_collection"
"558",2513901,"251390",33464,33464,33464,NA,"FALSE"
"559",2513927,"251392",4451,4451,NA,NA,NA
"560",2513943,"251394",2563,2563,2563,NA,"FALSE"
"561",2513968,"251396",3061,NA,NA,NA,NA
"562",2513984,"251398",3375,3375,NA,NA,"FALSE"
"563",2514008,"251400",4323,4323,NA,NA,NA
"564",2514107,"251410",4432,NA,NA,NA,NA
"565",2514206,"251420",7677,7677,NA,NA,"FALSE"
"566",2514305,"251430",6231,6231,NA,NA,NA
"567",2514404,"251440",4684,4684,NA,NA,NA
"568",2514503,"251450",19956,19956,NA,NA,"FALSE"
"569",2514552,"251455",3955,NA,NA,NA,NA
"570",2514602,"251460",3492,3492,NA,NA,"FALSE"
"571",2514651,"251465",1780,1780,1780,NA,"FALSE"
"572",2514701,"251470",4124,4124,4124,NA,"FALSE"
"573",2514800,"251480",3729,3729,NA,NA,NA
"574",2514909,"251490",7756,7756,7756,NA,"FALSE"
"575",2515104,"251510",11677,11677,NA,NA,"FALSE"
"576",2515203,"251520",3440,3440,3440,0,"FALSE"
"577",2515401,"251540",10900,10900,NA,NA,"FALSE"
"578",2515500,"251550",13564,13564,NA,NA,NA
"579",2515708,"251570",3078,3078,NA,NA,"FALSE"
"580",2516003,"251600",26734,26734,NA,NA,"FALSE"
"581",2516102,"251610",14714,14714,NA,NA,"FALSE"
"582",2516151,"251615",3475,NA,NA,NA,NA
"583",2516201,"251620",68822,68822,68822,7,"FALSE"
"584",2516300,"251630",16784,16784,16784,NA,NA
"585",2516409,"251640",10822,10822,NA,NA,"FALSE"
"586",2516508,"251650",15376,15376,NA,NA,NA
"587",2516607,"251660",14568,14568,14568,NA,"FALSE"
"588",2516706,"251670",14974,14974,NA,NA,"FALSE"
"589",2516755,"251675",3011,3011,3011,0,"FALSE"
"590",2516805,"251680",9447,9447,NA,NA,"FALSE"
"591",2516904,"251690",15228,15228,NA,NA,"FALSE"
"592",2517001,"251700",9889,9889,9889,NA,"FALSE"
"593",2517100,"251710",2747,2747,2747,NA,"FALSE"
"594",2517209,"251720",5295,5295,NA,NA,"FALSE"
"595",2517407,"251740",2208,2208,NA,8,"FALSE"
"596",2600104,"260010",36709,36709,NA,16,"FALSE"
"597",2600203,"260020",19031,19031,NA,0,NA
"598",2600302,"260030",24256,24256,NA,0,NA
"599",2600500,"260050",42566,42566,NA,0,"FALSE"
"600",2600609,"260060",14341,14341,NA,0,"FALSE"
"601",2600807,"260080",22876,22876,NA,0,NA
"602",2601003,"260100",10882,10882,NA,0,"FALSE"
"603",2601102,"260110",82800,82800,82800,16,"FALSE"
"604",2601201,"260120",72625,72625,72625,0,NA
"605",2601607,"260160",20675,20675,NA,0,NA
"606",2601706,"260170",75462,75462,75462,0,"FALSE"
"607",2601805,"260180",12539,12539,12539,0,NA
"608",2601904,"260190",60386,60386,NA,0,NA
"609",2602001,"260200",37317,37317,37317,14,"FALSE"
"610",2602100,"260210",47760,47760,NA,0,NA
